asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
BTC,KXBTC15M-26JUN141930-30,10,maker,yes,0.5552,0.5352,20,2.0,1,8.6456
BTC,KXBTC15M-26JUN141300-00,13,flat,no,0.9702,0.7923,0.0,17.79,1,0.0
BTC,KXBTC15M-26JUN141300-00,13,dynamic,no,0.9702,0.7923,0.0,17.79,1,0.0
BTC,KXBTC15M-26JUN141315-15,10,maker,yes,0.4637,0.4437,20,2.0,1,10.3472
BTC,KXBTC15M-26JUN141315-15,11,maker,yes,0.5054,0.4854,20,2.0,1,9.5713
BTC,KXBTC15M-26JUN141315-15,12,maker,yes,0.5508,0.5308,20,2.0,1,8.7278
BTC,KXBTC15M-26JUN141345-45,10,maker,no,0.9312,0.9112,20,2.0,1,1.6517
BTC,KXBTC15M-26JUN141345-45,11,maker,no,0.9516,0.9316,20,2.0,1,1.2728
BTC,KXBTC15M-26JUN141345-45,13,flat,no,0.9144,0.6579,0.0,25.66,1,0.0
BTC,KXBTC15M-26JUN141345-45,13,dynamic,no,0.9144,0.6579,0.0,25.66,1,0.0
BTC,KXBTC15M-26JUN141400-00,13,flat,no,0.8698,0.615,0.0,25.48,1,0.0
BTC,KXBTC15M-26JUN141400-00,13,dynamic,no,0.8698,0.615,0.0,25.48,1,0.0
BTC,KXBTC15M-26JUN141415-15,10,flat,no,0.8309,0.61,20.0,22.09,1,7.254
BTC,KXBTC15M-26JUN141415-15,10,tt,no,0.8309,0.61,20.0,22.09,1,7.254
BTC,KXBTC15M-26JUN141415-15,10,dynamic,no,0.8309,0.61,221.19,22.09,1,80.2252
BTC,KXBTC15M-26JUN141415-15,10,maker,no,0.8309,0.8109,20,2.0,1,3.5169
BTC,KXBTC15M-26JUN141415-15,11,maker,no,0.8545,0.8345,20,2.0,1,3.0775
BTC,KXBTC15M-26JUN141415-15,12,flat,no,0.8574,0.71,20.0,14.74,1,5.394
BTC,KXBTC15M-26JUN141415-15,12,tt,no,0.8574,0.71,20.0,14.74,1,5.394
BTC,KXBTC15M-26JUN141415-15,12,dynamic,no,0.8574,0.71,152.06,14.74,1,41.0103
BTC,KXBTC15M-26JUN141415-15,12,maker,no,0.8574,0.8374,20,2.0,1,3.0247
BTC,KXBTC15M-26JUN141415-15,13,maker,no,0.859,0.839,20,2.0,1,2.9937
BTC,KXBTC15M-26JUN141430-30,10,flat,no,0.7669,0.52,20.0,24.69,1,8.928
BTC,KXBTC15M-26JUN141430-30,10,tt,no,0.7669,0.52,20.0,24.69,1,8.928
BTC,KXBTC15M-26JUN141430-30,10,dynamic,no,0.7669,0.52,166.89,24.69,1,74.4998
BTC,KXBTC15M-26JUN141430-30,10,maker,no,0.7669,0.7469,20,2.0,1,4.7077
BTC,KXBTC15M-26JUN141430-30,11,maker,yes,0.3075,0.2875,20,2.0,0,-5.7496
BTC,KXBTC15M-26JUN141430-30,12,maker,no,0.6252,0.6052,20,2.0,1,7.3436
