asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
BTC,KXBTC15M-26JUN142045-45,12,dynamic,no,0.9805,0.8419,0.0,13.87,1,0.0
BTC,KXBTC15M-26JUN142045-45,13,flat,no,0.9812,0.8419,0.0,13.93,1,0.0
BTC,KXBTC15M-26JUN142045-45,13,dynamic,no,0.9812,0.8419,0.0,13.93,1,0.0
BTC,KXBTC15M-26JUN142100-00,13,flat,yes,0.9606,0.6585,0.0,30.21,1,0.0
BTC,KXBTC15M-26JUN142100-00,13,dynamic,yes,0.9606,0.6585,0.0,30.21,1,0.0
BTC,KXBTC15M-26JUN142145-45,13,flat,yes,0.9801,0.6989,0.0,28.12,1,0.0
BTC,KXBTC15M-26JUN142145-45,13,dynamic,yes,0.9801,0.6989,0.0,28.12,1,0.0
BTC,KXBTC15M-26JUN142200-00,13,flat,no,0.9612,0.6643,0.0,29.69,1,0.0
BTC,KXBTC15M-26JUN142200-00,13,dynamic,no,0.9612,0.6643,0.0,29.69,1,0.0
BTC,KXBTC15M-26JUN142215-15,13,flat,yes,0.9535,0.6224,0.0,33.11,1,0.0
BTC,KXBTC15M-26JUN142215-15,13,dynamic,yes,0.9535,0.6224,0.0,33.11,1,0.0
BTC,KXBTC15M-26JUN142230-30,10,flat,no,0.7369,0.38,20.0,35.69,1,11.532
BTC,KXBTC15M-26JUN142230-30,10,dynamic,no,0.7369,0.38,551.13,35.69,1,317.7794
BTC,KXBTC15M-26JUN142230-30,11,flat,no,0.7898,0.25,20.0,53.98,1,13.95
BTC,KXBTC15M-26JUN142230-30,11,dynamic,no,0.7898,0.25,742.7,53.98,1,518.0338
BTC,KXBTC15M-26JUN142230-30,12,flat,no,0.8357,0.18,20.0,65.57,1,15.252
BTC,KXBTC15M-26JUN142230-30,12,dynamic,no,0.8357,0.1858,1005.39,65.57,1,761.2694
BTC,KXBTC15M-26JUN142230-30,13,flat,no,0.8623,0.04,20.0,82.23,1,17.856
BTC,KXBTC15M-26JUN142230-30,13,dynamic,no,0.8623,0.0486,4024.26,82.23,1,3560.6205
BTC,KXBTC15M-26JUN142300-00,13,flat,no,0.9605,0.8629,0.0,9.76,1,0.0
BTC,KXBTC15M-26JUN142300-00,13,dynamic,no,0.9605,0.8629,0.0,9.76,1,0.0
BTC,KXBTC15M-26JUN142315-15,12,flat,yes,0.9399,0.6113,0.0,32.85,1,0.0
BTC,KXBTC15M-26JUN142315-15,12,dynamic,yes,0.9399,0.6113,0.0,32.85,1,0.0
BTC,KXBTC15M-26JUN142315-15,13,flat,yes,0.9499,0.6113,0.0,33.85,1,0.0
BTC,KXBTC15M-26JUN142315-15,13,dynamic,yes,0.9499,0.6113,0.0,33.85,1,0.0
BTC,KXBTC15M-26JUN142345-45,13,flat,yes,0.8952,0.5017,0.0,39.35,1,0.0
BTC,KXBTC15M-26JUN142345-45,13,dynamic,yes,0.8952,0.5017,0.0,39.35,1,0.0
BTC,KXBTC15M-26JUN150015-15,13,flat,no,0.9642,0.7482,0.0,21.59,1,0.0
BTC,KXBTC15M-26JUN150015-15,13,dynamic,no,0.9642,0.7482,0.0,21.59,1,0.0
BTC,KXBTC15M-26JUN150100-00,10,flat,no,0.8887,0.7,20.0,18.87,1,5.58
BTC,KXBTC15M-26JUN150100-00,10,dynamic,no,0.8887,0.7,266.43,18.87,1,74.3334
BTC,KXBTC15M-26JUN150100-00,11,flat,no,0.9105,0.6,20.0,31.05,1,7.44
BTC,KXBTC15M-26JUN150100-00,11,dynamic,no,0.9105,0.6,246.33,31.05,1,91.6346
BTC,KXBTC15M-26JUN150100-00,12,flat,no,0.9284,0.61,20.0,31.84,1,7.254
BTC,KXBTC15M-26JUN150100-00,12,dynamic,no,0.9284,0.61,238.51,31.84,1,86.5081
BTC,KXBTC15M-26JUN150100-00,13,flat,no,0.9397,0.45,20.0,48.97,1,10.23
BTC,KXBTC15M-26JUN150100-00,13,dynamic,no,0.9397,0.45,260.48,48.97,1,133.2332
BTC,KXBTC15M-26JUN150115-15,10,flat,yes,0.8982,0.71,20.0,18.82,1,5.394
BTC,KXBTC15M-26JUN150115-15,10,dynamic,yes,0.8982,0.7168,278.51,18.82,1,73.3522
BTC,KXBTC15M-26JUN150115-15,11,flat,yes,0.9162,0.83,20.0,8.62,1,3.162
BTC,KXBTC15M-26JUN150115-15,11,dynamic,yes,0.9162,0.83,194.19,8.62,1,30.7012
BTC,KXBTC15M-26JUN150115-15,12,flat,yes,0.9354,0.57,20.0,36.54,1,7.998
BTC,KXBTC15M-26JUN150115-15,12,dynamic,yes,0.9354,0.57,251.41,36.54,1,100.5405
SOL,KXSOL15M-26JUN141630-30,11,flat,yes,0.953,0.8778,0.0,7.53,1,0.0
SOL,KXSOL15M-26JUN141630-30,11,dynamic,yes,0.953,0.8778,0.0,7.53,1,0.0
SOL,KXSOL15M-26JUN141630-30,12,flat,yes,0.9583,0.8778,0.0,8.05,1,0.0
SOL,KXSOL15M-26JUN141630-30,12,dynamic,yes,0.9583,0.8778,0.0,8.05,1,0.0
SOL,KXSOL15M-26JUN141630-30,13,flat,yes,0.9623,0.8778,0.0,8.46,1,0.0
SOL,KXSOL15M-26JUN141630-30,13,dynamic,yes,0.9623,0.8778,0.0,8.46,1,0.0
SOL,KXSOL15M-26JUN141700-00,10,flat,no,0.8103,0.47,20.0,34.03,1,9.858
SOL,KXSOL15M-26JUN141700-00,10,dynamic,no,0.8103,0.47,438.87,34.03,1,216.3186
SOL,KXSOL15M-26JUN141700-00,11,flat,no,0.8479,0.5693,20.0,28.79,1,8.0115
SOL,KXSOL15M-26JUN141700-00,11,dynamic,no,0.8479,0.6149,548.56,28.79,1,196.4519
SOL,KXSOL15M-26JUN141700-00,13,flat,no,0.8979,0.5507,0.0,34.72,1,0.0
SOL,KXSOL15M-26JUN141700-00,13,dynamic,no,0.8979,0.5507,0.0,34.72,1,0.0
SOL,KXSOL15M-26JUN141715-15,13,flat,yes,0.9345,0.7535,0.0,18.1,1,0.0
SOL,KXSOL15M-26JUN141715-15,13,dynamic,yes,0.9345,0.7535,0.0,18.1,1,0.0
